//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
7(5) Alemán (Liechtenstein);10(1) Español - España (alfabetización tradicional);9(1) Inglés (Estados Unidos);12(1) Francés (Francia);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportación el 19/02/2016 14:05:21;;;;
5624;Hay demasiadas informaciones de diagnóstico;Too much diagnostic information generated;Trop d'informations de diagnostic;
22008;El bloque de datos de imágenes de diagnóstico HMI para PROFINET IO está concebido para un diagnóstico máximo. Por cada dispositivo PROFINET IO puede contener datos de diagnóstico de hasta 8 módulos defectuosos. Por cada módulo puede contener datos de diagn;The HMI diagnostic picture data block for PROFINET IO is intended for maximum diagnostics. Per PROFINET IO device, it can contain diagnostic data for up to 8 modules that have problems. Per module, it can contain diagnostic data for up to 14 submodules and;Le bloc de données des vues de diagnotic IHM pour PROFINET IO est prévu pour un diagnostic maximal. Par PROFINET IO-Device il peut contenir les données de diagnostic de jusqu'à 8 modules en défaut. Il peut contenir les données de diagnostic de jusqu'à 14 c;
5625;Error al llamar el SFB 52;Error calling SFB 52;Erreur à l'appel du SFB 52;
22009;Al actualizar el bloque de datos de imágenes de diagnóstico HMI para PROFINET IO se ha producido un error al llamar el SFB 52.;An error occurred calling SFB 52 during the updating of the HMI diagnostic pictures data block for PROFINET IO.;Une erreur s'est produite lors de l'actualisation du bloc de données pour vues de diagnostic IHM pour PROFINET IO à l'appel du SFB 52;
5656;Módulo no insertado;Module is not plugged in;Module non enfiché;
22040;Compruebe si el módulo está enchufado correctamente.;Check whether or not the module is correctly plugged in.;Vérifiez si le module est correctement enfiché.;
5657;Módulo enchufado incorrecto;Wrong module plugged in;Module incorrect enfiché;
22041;Compruebe el módulo.;Check the module.;Contrôlez le module.;
5658;El módulo es correcto pero hay como mínimo un submódulo incorrecto;The module is correct but at least one submodule is incorrect;Le module est correct mais une cartouche au moins est incorrecte.;
22042;Compruebe los submódulos del módulo.;Check the submodules of the module.;Contrôlez les cartouches du module.;
5659;Módulo incorrecto, pero compatible con la configuración;Wrong module but it is compatible with the configuration;Module incorrect, mais compatible avec la configuration.;
22043;Como el módulo es compatible con la configuración, no se requiere ninguna acción.;The module is compatible with the configuration so no action is necessary.;Comme le module est compatible avec le configuration, aucune action n'est requise.;
5720;Submódulo no insertado;Submodule is not plugged in;Cartouche non enfichée;
22104;Compruebe si el submódulo está enchufado correctamente.;Check whether or not the submodule is correctly plugged in.;Vérifiez si la cartouche est correctement enfichée;
5721;Submódulo compatible con la configuración;Submodule is compatible to the configuration;Cartouche compatible avec la configuration;
22105;Como el submódulo es compatible con la configuración, no se requiere ninguna acción.;The submodule is compatible with the configuration so no action is necessary.;Comme la cartouche est compatible avec la configuration, aucune action n'est requise.;
5722;Submódulo bloqueado por el controlador;Submodule is block by the controller;Cartouche bloquée par le contrôleur.;
22106;;;;
5724;Una aplicación está accediendo al submódulo;An application is accessing the submodule;Une application accède à la cartouche.;
22108;;;;
5727;Submódulo incorrecto, pero compatible con la configuración;Wrong submodule but it is compatible with the configuration;Cartouche incorrecte, mais compatible avec la configuration;
22111;Como el submódulo es compatible con la configuración, no se requiere ninguna acción.;The submodule is compatible with the configuration so no action is necessary.;Comme la cartouche est compatible avec la configuration, aucune action n'est requise.;
6968;;;;
23352;;;;
7096;Cortocircuito;Short circuit;Court-circuit;
23480;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
7224;Baja tensión;Low voltage;Sous-tension;
23608;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
7352;Sobretensión;Overvoltage;Surtension;
23736;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
7480;Sobrecarga;Overload;Surcharge;
23864;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
7608;Sobretemperatura;Overtemperature;Surchauffe;
