//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
7(5) Allemand (Liechtenstein);10(1) Espagnol (traditionnel);9(1) Anglais (États-Unis);12(1) Français (France);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportación el 04/07/2015 10:27:06;;;;
7648;Hay demasiadas informaciones de diagnóstico;Too much diagnostic information generated;Trop d'informations de diagnostic;
24032;El bloque de datos de imágenes de diagnóstico HMI para PROFINET IO está concebido para un diagnóstico máximo. Por cada dispositivo PROFINET IO puede contener datos de diagnóstico de hasta 8 módulos defectuosos. Por cada módulo puede contener datos de diagn;The HMI diagnostic picture data block for PROFINET IO is intended for maximum diagnostics. Per PROFINET IO device, it can contain diagnostic data for up to 8 modules that have problems. Per module, it can contain diagnostic data for up to 14 submodules and;Le bloc de données des vues de diagnotic IHM pour PROFINET IO est prévu pour un diagnostic maximal. Par PROFINET IO-Device il peut contenir les données de diagnostic de jusqu'à 8 modules en défaut. Il peut contenir les données de diagnostic de jusqu'à 14 c;
7649;Error al llamar el SFB 52;Error calling SFB 52;Erreur à l'appel du SFB 52;
24033;Al actualizar el bloque de datos de imágenes de diagnóstico HMI para PROFINET IO se ha producido un error al llamar el SFB 52.;An error occurred calling SFB 52 during the updating of the HMI diagnostic pictures data block for PROFINET IO.;Une erreur s'est produite lors de l'actualisation du bloc de données pour vues de diagnostic IHM pour PROFINET IO à l'appel du SFB 52;
8496;Módulo no insertado;Module is not plugged in;Module non enfiché;
24880;Compruebe si el módulo está enchufado correctamente.;Check whether or not the module is correctly plugged in.;Vérifiez si le module est correctement enfiché.;
8497;Módulo enchufado incorrecto;Wrong module plugged in;Module incorrect enfiché;
24881;Compruebe el módulo.;Check the module.;Contrôlez le module.;
8498;El módulo es correcto pero hay como mínimo un submódulo incorrecto;The module is correct but at least one submodule is incorrect;Le module est correct mais une cartouche au moins est incorrecte.;
24882;Compruebe los submódulos del módulo.;Check the submodules of the module.;Contrôlez les cartouches du module.;
8499;Módulo incorrecto, pero compatible con la configuración;Wrong module but it is compatible with the configuration;Module incorrect, mais compatible avec la configuration.;
24883;Como el módulo es compatible con la configuración, no se requiere ninguna acción.;The module is compatible with the configuration so no action is necessary.;Comme le module est compatible avec le configuration, aucune action n'est requise.;
10192;Submódulo no insertado;Submodule is not plugged in;Cartouche non enfichée;
26576;Compruebe si el submódulo está enchufado correctamente.;Check whether or not the submodule is correctly plugged in.;Vérifiez si la cartouche est correctement enfichée;
10193;Submódulo compatible con la configuración;Submodule is compatible to the configuration;Cartouche compatible avec la configuration;
