//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
7(5) Allemand (Liechtenstein);10(1) Espagnol (traditionnel);9(1) Anglais (États-Unis);12(1) Français (France);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportación el 08/05/2015 01:26:37;;;;
7648;Hay demasiadas informaciones de diagnóstico;Too much diagnostic information generated;Trop d'informations de diagnostic;
24032;El bloque de datos de imágenes de diagnó;The HMI diagnostic picture data block fo;Le bloc de données des vues de diagnotic;
7649;Error al llamar el SFB 52;Error calling SFB 52;Erreur à l'appel du SFB 52;
24033;Al actualizar el bloque de datos de imág;An error occurred calling SFB 52 during ;Une erreur s'est produite lors de l'actu;
8496;Módulo no insertado;Module is not plugged in;Module non enfiché;
24880;Compruebe si el módulo está enchufado co;Check whether or not the module is corre;Vérifiez si le module est correctement e;
8497;Módulo enchufado incorrecto;Wrong module plugged in;Module incorrect enfiché;
24881;Compruebe el módulo.;Check the module.;Contrôlez le module.;
8498;El módulo es correcto pero hay como mínimo un submódulo incorrecto;The module is correct but at least one submodule is incorrect;Le module est correct mais une cartouche au moins est incorrecte.;
24882;Compruebe los submódulos del módulo.;Check the submodules of the module.;Contrôlez les cartouches du module.;
8499;Módulo incorrecto, pero compatible con la configuración;Wrong module but it is compatible with the configuration;Module incorrect, mais compatible avec la configuration.;
24883;Como el módulo es compatible con la conf;The module is compatible with the config;Comme le module est compatible avec le c;
10192;Submódulo no insertado;Submodule is not plugged in;Cartouche non enfichée;
26576;Compruebe si el submódulo está enchufado;Check whether or not the submodule is co;Vérifiez si la cartouche est correctemen;
10193;Submódulo compatible con la configuración;Submodule is compatible to the configuration;Cartouche compatible avec la configuration;
26577;Como el submódulo es compatible con la c;The submodule is compatible with the con;Comme la cartouche est compatible avec l;
10194;Submódulo bloqueado por el controlador;Submodule is block by the controller;Cartouche bloquée par le contrôleur.;
26578;;;;
10196;Una aplicación está accediendo al submódulo;An application is accessing the submodule;Une application accède à la cartouche.;
26580;;;;
10199;Submódulo incorrecto, pero compatible con la configuración;Wrong submodule but it is compatible with the configuration;Cartouche incorrecte, mais compatible avec la configuration;
26583;Como el submódulo es compatible con la c;The submodule is compatible with the con;Comme la cartouche est compatible avec l;
1960;;;;
18344;;;;
5352;Cortocircuito;Short circuit;Court-circuit;
21736;Compruebe el estado de las líneas de con;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
8744;Baja tensión;Low voltage;Sous-tension;
25128;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
12136;Sobretensión;Overvoltage;Surtension;
