//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;
$_Languages;;;
7(5) Allemand (Liechtenstein);12(1) Français (France);9(1) Anglais (États-Unis);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportation le 23/10/2013 09:36:32;;;
7648;Trop d'informations de diagnostic;Too much diagnostic information generated;
24032;Le bloc de données des vues de diagnotic;The HMI diagnostic picture data block fo;
7649;Erreur à l'appel du SFB 52;Error calling SFB 52;
24033;Une erreur s'est produite lors de l'actu;An error occurred calling SFB 52 during ;
8496;Module non enfiché;Module is not plugged in;
24880;Vérifiez si le module est correctement e;Check whether or not the module is corre;
8497;Module incorrect enfiché;Wrong module plugged in;
24881;Contrôlez le module.;Check the module.;
8498;Le module est correct mais une cartouche au moins est incorrecte.;The module is correct but at least one submodule is incorrect;
24882;Contrôlez les cartouches du module.;Check the submodules of the module.;
8499;Module incorrect, mais compatible avec la configuration.;Wrong module but it is compatible with the configuration;
24883;Comme le module est compatible avec le c;The module is compatible with the config;
10192;Cartouche non enfichée;Submodule is not plugged in;
26576;Vérifiez si la cartouche est correctemen;Check whether or not the submodule is co;
10193;Cartouche compatible avec la configuration;Submodule is compatible to the configuration;
26577;Comme la cartouche est compatible avec l;The submodule is compatible with the con;
10194;Cartouche bloquée par le contrôleur.;Submodule is block by the controller;
26578;;;
10196;Une application accède à la cartouche.;An application is accessing the submodule;
26580;;;
10199;Cartouche incorrecte, mais compatible avec la configuration;Wrong submodule but it is compatible with the configuration;
26583;Comme la cartouche est compatible avec l;The submodule is compatible with the con;
1960;;;
18344;;;
5352;Court-circuit;Short circuit;
21736;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
8744;Sous-tension;Low voltage;
25128;Contrôlez l'alimentation en tension.;Verify the power supply.;
12136;Surtension;Overvoltage;
28520;Contrôlez l'alimentation en tension.;Verify the power supply.;
15528;Surcharge;Overload;
