"V01.00.000"
"$_Languages"
"10(1) Espagnol (traditionnel)";"12(1) Français (France)";"9(2) Anglais (Royaume-Uni)";"513(1) Key"
"$_Timestamp"
"12.05.2015  21:59:07";"20.05.2015  00:12:23";"20.05.2015  00:12:23";""
"$_Typ(NetworkComment)"
"PRIMER CICLO
*ODIL_ID:2_10000*
";"PREMIER CYCLE
*ODIL_ID:2_10000*
";"PRIMER CICLO
*ODIL_ID:2_10000*
";""
"BIT SIEMPRE A 1, BIT SIEMPRE A 0 ...
*ODIL_ID:2_10001*
";"BIT TOUJOURS A 1, BIT TOUJOURS A 0 ...
*ODIL_ID:2_10001*
";"BIT SIEMPRE A 1, BIT SIEMPRE A 0 ...
*ODIL_ID:2_10001*
";""
"LLAMADA FC ISLA
*ODIL_ID:2_10002*
";"APPEL FC ILOT
*ODIL_ID:2_10002*
";"LLAMADA FC ISLA
*ODIL_ID:2_10002*
";""
"LLAMADA BLOQUE DE DIAGNOSTICO PARA ERRORES SISTEMA
*ODIL_ID:2_10004*
";"APPEL BLOC DE DIAGNOSTIQUE POUR ERREURS SYSTEME
*ODIL_ID:2_10004*
";"LLAMADA BLOQUE DE DIAGNOSTICO PARA ERRORES SISTEMA
*ODIL_ID:2_10004*
";""
"LLAMADA FC ZONA 1
*ODIL_ID:64_10005*
";"APPEL FC ZONE 1
*ODIL_ID:64_10005*
";"LLAMADA FC ZONA 1
*ODIL_ID:64_10005*
";""
"BA0 BFB";"BA0 BFB";"BA0 BFB";""
"LLAMADA DEL PROGRAMA DE SEGURIDAD
*ODIL_ID:2_1*
";"APPEL DU PROGRAMME DE SECURITE
*ODIL_ID:2_1*
";"LLAMADA DEL PROGRAMA DE SEGURIDAD
*ODIL_ID:2_1*
";""
"*ODIL_ID:2_1*
";"*ODIL_ID:2_1*
";"*ODIL_ID:2_1*
";""
"Diferenciar el tratamiento según la ocurrencia del error";"Différencier le traitement selon l'occurrence de l'erreur
*ODIL_ID:2_1*
";"Diferenciar el tratamiento según la ocurrencia del error";""
"Un programa utilizador puede ser llamado en el paso de la CPU a STOP.
*ODIL_ID:2_2*
";"Un programme utilisateur peut être appelé à la place du passage de la CPU en STO
P.
*ODIL_ID:2_2*
";"Un programa utilizador puede ser llamado en el paso de la CPU a STOP.
*ODIL_ID:2_2*
";""
"Un programa utilizador puede ser llamado en el paso de la CPU en STOP.
*ODIL_ID:2_3*
";"Un programme utilisateur peut être appelé à la place du passage de la CPU en
STOP.
*ODIL_ID:2_3*
";"Un programa utilizador puede ser llamado en el paso de la CPU en STOP.
*ODIL_ID:2_3*
";""
"CPU no pasa a STOP, este problema causa una llamada de un OB83.
*ODIL_ID:2_4*
";"CPU ne passe pas en STOP, ce problème cause l'appel d'un OB83.
*ODIL_ID:2_4*
";"CPU no pasa a STOP, este problema causa una llamada de un OB83.
*ODIL_ID:2_4*
";""
"La CPU será definitivamente parada.
*ODIL_ID:2_5*
";"La CPU va être définitivement arrêtée.
*ODIL_ID:2_5*
";"La CPU será definitivamente parada.
*ODIL_ID:2_5*
";""
"Salir del bloque o llamar al programa utilizador
*ODIL_ID:2_6*
";"Quitter le bloc ou appeler programme utilisateur
*ODIL_ID:2_6*
";"Salir del bloque o llamar al programa utilizador
*ODIL_ID:2_6*
";""
"*ODIL_ID:2_2*
";"*ODIL_ID:2_2*
";"*ODIL_ID:2_2*
";""
"LLAMADA DEL FB DIAGNOSTICO RED PROFINET
*ODIL_ID:2_100*
";"APPEL DU FB DIAGNOSTIQUE RESEAU PROFINET
*ODIL_ID:2_100*
";"LLAMADA DEL FB DIAGNOSTICO RED PROFINET
*ODIL_ID:2_100*
";""
"SEGUIMIENTO: RECOPIA DE LA ALARMA CALIDAD PROFINET HACIA EL SEGUIMIENTO ZONAS
*ODIL_ID:2_101*
";"SUIVI: RECOPIE DE L ALARME QUALITE PROFINET VERS LE SUIVI ZONES
*ODIL_ID:2_101*
";"SEGUIMIENTO: RECOPIA DE LA ALARMA CALIDAD PROFINET HACIA EL SEGUIMIENTO ZONAS
*ODIL_ID:2_101*
";""
"SEGUIMIENTO: RECOPIA DEL DEFECTO PROFINET HACIA EL SEGUIMIENTO ZONAS
*ODIL_ID:2_102*
";"SUIVI: RECOPIE DU DEFAUT PROFINET VERS LE SUIVI ZONES
*ODIL_ID:2_102*
";"SEGUIMIENTO: RECOPIA DEL DEFECTO PROFINET HACIA EL SEGUIMIENTO ZONAS
*ODIL_ID:2_102*
";""
"ISLA: INFORMACION DEFECTO MAYOR (FILTRAJE DE DEFECTOS INDESEABLES)
DEF_MAJ = INHIBIT UNWANTED FAILURES
*ODIL_ID:2_103*
";"ILOT: INFORMATION DEFAUT MAJEUR (FILTRAGE DES DEFAUTS INDESIRABLES)
DEF_MAJ = INHIBIT UNWANTED FAILURES
*ODIL_ID:2_103*
";"ISLA: INFORMACION DEFECTO MAYOR (FILTRAJE DE DEFECTOS INDESEABLES)
DEF_MAJ = INHIBIT UNWANTED FAILURES
*ODIL_ID:2_103*
";""
"ISLA: INFORMACION DEFECTO PRESENTE SOBRE EL IHM
*ODIL_ID:2_105*
";"ILOT: INFORMATION DEFAUT PRESENT SUR L IHM
*ODIL_ID:2_105*
";"ISLA: INFORMACION DEFECTO PRESENTE SOBRE EL IHM
*ODIL_ID:2_105*
";""
"FB ISLA
*ODIL_ID:2_106*
";"FB ILOT
*ODIL_ID:2_106*
";"FB ISLA
*ODIL_ID:2_106*
";""
"SEGUIMIENTO: RECOPIA DEL DEFECTO API HACIA EL SEGUIMIENTO ZONAS
*ODIL_ID:2_107*
";"SUIVI: RECOPIE DU DEFAUT API VERS LE SUIVI ZONES
*ODIL_ID:2_107*
";"SEGUIMIENTO: RECOPIA DEL DEFECTO API HACIA EL SEGUIMIENTO ZONAS
*ODIL_ID:2_107*
";""
"AUXILIAR 1: BALIZA LLAMADA OPERARIO
*ODIL_ID:2_108*
";"AUXILLIAIRE 1: VERRINE APPEL OPERATEUR
*ODIL_ID:2_108*
";"AUXILIAR 1: BALIZA LLAMADA OPERARIO
*ODIL_ID:2_108*
";""
"AUXILIAR 2: BALIZA LLAMADA OPERARIO
*ODIL_ID:2_109*
";"AUXILLIAIRE 2: VERRINE APPEL OPERATEUR
*ODIL_ID:2_109*
";"AUXILIAR 2: BALIZA LLAMADA OPERARIO
*ODIL_ID:2_109*
";""
"BALIZA LLAMADA OPERARIO (FLASH AZUL SOBRE MOP)
*ODIL_ID:2_110*
";"VERRINE APPEL OPERATEUR (FLASH BLEU SUR MOP)
*ODIL_ID:2_110*
";"BALIZA LLAMADA OPERARIO (FLASH AZUL SOBRE MOP)
*ODIL_ID:2_110*
";""
"*******************************************************************************
**                PLC PRODUCCION DATA MANUAL BACKUP ON MMC CARD              **
*******************************************************************************
*ODIL_ID:2_200*
";"*******************************************************************************
**                PLC PRODUCTION DATA MANUAL BACKUP ON MMC CARD              **
*******************************************************************************
*ODIL_ID:2_200*
";"*******************************************************************************
**                PLC PRODUCCION DATA MANUAL BACKUP ON MMC CARD              **
*******************************************************************************
*ODIL_ID:2_200*
";""
