//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;
$_Languages;;;
7(5) German (Liechtenstein);9(1) English (United States);12(1) French (France);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportación el 14/01/2018 19:36:00;;;
8600;Too much diagnostic information generated;Trop d'informations de diagnostic;
24984;The HMI diagnostic picture data block for PROFINET IO is intended for maximum diagnostics. Per PROFINET IO device, it can contain diagnostic data for up to 8 modules that have problems. Per module, it can contain diagnostic data for up to 14 submodules and;Le bloc de données des vues de diagnotic IHM pour PROFINET IO est prévu pour un diagnostic maximal. Par PROFINET IO-Device il peut contenir les données de diagnostic de jusqu'à 8 modules en défaut. Il peut contenir les données de diagnostic de jusqu'à 14 c;
8601;Error calling SFB 52;Erreur à l'appel du SFB 52;
24985;An error occurred calling SFB 52 during the updating of the HMI diagnostic pictures data block for PROFINET IO.;Une erreur s'est produite lors de l'actualisation du bloc de données pour vues de diagnostic IHM pour PROFINET IO à l'appel du SFB 52;
9352;Module is not plugged in;Module non enfiché;
25736;Check whether or not the module is correctly plugged in.;Vérifiez si le module est correctement enfiché.;
9353;Wrong module plugged in;Module incorrect enfiché;
25737;Check the module.;Contrôlez le module.;
9354;The module is correct but at least one submodule is incorrect;Le module est correct mais une cartouche au moins est incorrecte.;
25738;Check the submodules of the module.;Contrôlez les cartouches du module.;
9355;Wrong module but it is compatible with the configuration;Module incorrect, mais compatible avec la configuration.;
25739;The module is compatible with the configuration so no action is necessary.;Comme le module est compatible avec le configuration, aucune action n'est requise.;
10856;Submodule is not plugged in;Cartouche non enfichée;
27240;Check whether or not the submodule is correctly plugged in.;Vérifiez si la cartouche est correctement enfichée;
10857;Submodule is compatible to the configuration;Cartouche compatible avec la configuration;
27241;The submodule is compatible with the configuration so no action is necessary.;Comme la cartouche est compatible avec la configuration, aucune action n'est requise.;
10858;Submodule is block by the controller;Cartouche bloquée par le contrôleur.;
27242;;;
10860;An application is accessing the submodule;Une application accède à la cartouche.;
27244;;;
10863;Wrong submodule but it is compatible with the configuration;Cartouche incorrecte, mais compatible avec la configuration;
27247;The submodule is compatible with the configuration so no action is necessary.;Comme la cartouche est compatible avec la configuration, aucune action n'est requise.;
1032;;;
17416;;;
4040;Short circuit;Court-circuit;
20424;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
7048;Low voltage;Sous-tension;
23432;Verify the power supply.;Contrôlez l'alimentation en tension.;
10056;Overvoltage;Surtension;
26440;Verify the power supply.;Contrôlez l'alimentation en tension.;
13064;Overload;Surcharge;
29448;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
16072;Overtemperature;Surchauffe;
32456;Check the technical specifications of the connected components.;Contrôlez les caractéristiques techniques des composants liés.;
2768;Wire break;Rupture de fil;
19152;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
5776;High limit exceeded;Limite supérieure dépassée;
22160;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
8784;Low limit exceeded;Limite inférieure sous-dépassée;
25168;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
11792;Error;Erreur;
28176;;;
14800;Simulation active;Simulation active;
31184;;;
1496;Reserved;réservé;
17880;;;
4504;Reserved;réservé;
20888;;;
7512;Reserved;réservé;
23896;;;
10520;Reserved;réservé;
26904;;;
13528;Parameter missing;Paramètre manquant;
29912;;;
224;Parameter assignment error;Erreur de paramétrage;
16608;Cause: Bad module parameter. Remedy: Check and correct parameter. Then reload.;Cause : paramètres de module incorrects. Solution : vérifiez et corrigez les paramètres. Rechargez ensuite les paramètres.;
3232;Power supply fault;Absence de tension capteur ou de charge;
19616;Cause: No power supply. Remedy: Check wiring or turn on power supply.;Cause : absence de tension d'alimentation. Solution : vérifiez le câblage ou branchez l'alimentation.;
6240;Fuse blown / open;Fusible defectueux;
22624;Cause: Overload. Remedy: Remove cause of overload. The replace fuse.;Cause : surcharge. Solution : supprimez la cause de la surcharge. Remplacez ensuite le fusible.;
9248;Slot cannot be addressed;Emplacement non accessible;
25632;Cause: Communication error with various possible causes. Remedy: Depends on cause.;Cause : erreur de communication à cause multiple. Solution : dépend de la cause.;
12256;Ground fault;Défaut à la masse;
28640;Cause: Common mode voltage exceeded or M cable disconnected. Remedy: Check wiring and correct.;Cause : dépassement de la tension mode commun ou rupture du câble M. Solution : vérifiez et corrigez le câblage.;
15264;Reference point list;Erreur de voie de référence;
31648;Cause: Error on reference channel. Remedy: See manual.;Cause : erreur de voie de référence. Solution : voir le manuel.;
1960;Process event lost / sampling error;Alarme de processus perdue;
18344;Cause: Hardware interrupt. Remedy: Change interrupt handling of the CPU or change parameter assignment of  module.;Cause : alarme de processus. Solution : modifiez le traitement de l'alarme par la CPU ou modifiez le paramétrage du module.;
4968;Threshold warning;Avertissement actionneur;
21352;Cause: Actuator signaling a limit value violation. Remedy: Check interaction of module and actuator.;Cause : actionneur signale un dépassement d'une valeur limite. Solution : vérifiez la compatibilité du module et de l'actionneur.;
7976;Output disabled;Coupure actionneur;
24360;Cause: Problem detected on actuator. Remedy: Find and eliminate cause.;Cause : problème d'actionneur détecté. Solution : supprimez la cause du problème.;
10984;Safety event;Arrêt de sécurité;
27368;Cause: Error detected on channel. Remedy: Check channel and correct problem..;Cause : erreur de voie détectée. Solution : vérifiez la voie et supprimez l'erreur.;
13992;External fault;Défaut externe;
30376;Cause: Problem detected on sensor/actuator. Remedy: Replace sensor/actuator or check wiring.;Cause : Erreur de capteur/actionneur détectée. Solution : remplacez le capteur/actionneur ou vérifiez le câblage.;
688;Unidentified error;Défaut non spécifié;
17072;Cause: Cannot be specified in greater detail. Remedy: See manual.;Cause : ne peut être spécifiée. Solution : voir le manuel.;
3696;Reserved;réservé;
20080;;;
6704;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
23088;;;
9712;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
26096;;;
12720;Temporary error;Erreur temporaire;
29104;;;
10880;Illegal linkup;Linkup illicite;
27264;Link status different from setting in parameter data record 200;Etat de connexion différent des spécifications de l'enregistrement de paramétrage 200;
13888;Illegal linkdown;Linkdown illicite;
30272;Link status different from setting in parameter data record 200;Etat de connexion différent des spécifications de l'enregistrement de paramétrage 200;
584;Illegal transmission rate;Vitesse de transmission illicite;
16968;Transmission rate different from setting in parameter data record 3;Vitesse de transmission différente des spécifications de l'enregistrement de paramétrage 3;
3592;Illegal duplexity;Duplexity illicite;
19976;Duplexity different from setting in parameter data record 3;Duplexity différente des spécifications de l'enregistrement de paramétrage 3;
6600;Frame overload;Surcharge de trames;
