//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;
$_Languages;;;
7(5) Allemand (Liechtenstein);12(1) Français (France);9(1) Anglais (États-Unis);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportation le 06/07/2012 13:00:45;;;
6008;Trop d'informations de diagnostic;Too much diagnostic information generated;
22392;Le bloc de données des vues de diagnotic;The HMI diagnostic picture data block fo;
6009;Erreur à l'appel du SFB 52;Error calling SFB 52;
22393;Une erreur s'est produite lors de l'actu;An error occurred calling SFB 52 during ;
6040;Module non enfiché;Module is not plugged in;
22424;Vérifiez si le module est correctement e;Check whether or not the module is corre;
6041;Module incorrect enfiché;Wrong module plugged in;
22425;Contrôlez le module.;Check the module.;
6042;Le module est correct mais une cartouche au moins est incorrecte.;The module is correct but at least one submodule is incorrect;
22426;Contrôlez les cartouches du module.;Check the submodules of the module.;
6043;Module incorrect, mais compatible avec la configuration.;Wrong module but it is compatible with the configuration;
22427;Comme le module est compatible avec le c;The module is compatible with the config;
6104;Cartouche non enfichée;Submodule is not plugged in;
22488;Vérifiez si la cartouche est correctemen;Check whether or not the submodule is co;
6105;Cartouche compatible avec la configuration;Submodule is compatible to the configuration;
22489;Comme la cartouche est compatible avec l;The submodule is compatible with the con;
6106;Cartouche bloquée par le contrôleur.;Submodule is block by the controller;
22490;;;
6108;Une application accède à la cartouche.;An application is accessing the submodule;
22492;;;
6111;Cartouche incorrecte, mais compatible avec la configuration;Wrong submodule but it is compatible with the configuration;
22495;Comme la cartouche est compatible avec l;The submodule is compatible with the con;
8080;;;
24464;;;
8208;Court-circuit;Short circuit;
24592;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
8336;Sous-tension;Low voltage;
24720;Contrôlez l'alimentation en tension.;Verify the power supply.;
8464;Surtension;Overvoltage;
24848;Contrôlez l'alimentation en tension.;Verify the power supply.;
8592;Surcharge;Overload;
24976;Contrôlez les caractéristiques technique;Check the technical specifications of th;
8720;Surchauffe;Overtemperature;
25104;Contrôlez les caractéristiques technique;Check the technical specifications of th;
8848;Rupture de fil;Wire break;
25232;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
8976;Limite supérieure dépassée;High limit exceeded;
25360;Contrôlez les caractéristiques technique;Check the technical specifications of th;
9104;Limite inférieure sous-dépassée;Low limit exceeded;
25488;Contrôlez les caractéristiques technique;Check the technical specifications of th;
9232;Erreur;Error;
25616;;;
9360;Simulation active;Simulation active;
25744;;;
9488;réservé;Reserved;
25872;;;
9616;réservé;Reserved;
26000;;;
9744;réservé;Reserved;
26128;;;
9872;réservé;Reserved;
26256;;;
10000;Paramètre manquant;Parameter missing;
26384;;;
10128;Erreur de paramétrage;Parameter assignment error;
26512;Cause possible : Le module n'est pas par;Possible Cause: Module either not at all;
10256;Le connecteur frontal, la tension de capteur ou de charge manque.;Front connector missing, sensor or load voltage missing;
26640;Cause possible : La tension d'alimentati;Possible cause: Supply voltage missing o;
10384;Fusible défectueux.;Fuse defective;
26768;Cause possible : Le fusible échangeable ;Possible Cause: User's replaceable fuse ;
10512;Erreur de communication;Communication error;
26896;Cause possible : Communication au module;Possible Cause: Communication to the mod;
10640;Erreur de masse;Ground error;
27024;Cause possible : Dépassement du Common M;Possible Cause: Exceeding the allowable ;
10768;Erreur sur voie de référence;Reference channel error;
27152;Cause possible : Erreur sur voie de réfé;Possible Cause: Error on the reference c;
10896;Alarme de processus perdue ou erreur de message;Process interrupt lost or message error;
27280;Cause possible : Erreur de cadre, erreur;Possible Cause: Frame error, parity erro;
11024;Avertissement;Warning;
27408;Cause possible : Dépassement des seuils ;Possible Cause: Exceeding the actuator l;
11152;Arrêt;Shutoff;
27536;Cause possible : Déclenchement d'un disj;Possible Cause: Trigger a line switch du;
11280;Arrêt de sécurité;Fail-safe shutoff;
27664;Cause possible : Présence d'un déclenche;Possible Cause: Trigger for fail-safe sh;
11408;Erreur externe;external error;
27792;Cause possible : Rupture de fil ou court;Possible Cause: Wire break or short circ;
11536;Erreur indéfinie;ambiguous error;
27920;Cause possible : Une procédure d'apprent;Possible Cause: Teach-in process running;
11664;réservé;Reserved;
28048;;;
11792;Erreur 1 dans actionneur / capteur;Fault 1 in actuator/sensor;
28176;;;
11920;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
28304;;;
12048;Voie temporairement indisponible;Channel temporarily not available;
28432;Cause possible : Calibrage, mise à jour ;Possible cause: Calibration, firmware up;
8224;Transmission de données impossible; @5W%t#ET200S-20100709@;Data transmission impossible; @5W%t#ET200S-20100709@;
24608;Aide : transmission de données impossibl;Help: Data transmission impossible; @5W%;
8288;Pas de connexion physique au port;No physical connection on port;
24672;Une surveillance de port a été configuré;Port monitoring was configured, there is;
8289;Erreur pour "Support de transmission/Duplex";Error with "Transfer medium/duplex";
24673;"Support de transmission / Duplex" a été;"Transfer medium / duplex" was configure;
8290;Erreur lors du test de longueur de câble;Error in cable length check;
24674;Causes possibles :
 - La longueur de câb;Possible causes:
 - The detected cable l;
8352;Erreur partenaire; @5W%t#ET200S-20100709@;Remote mismatch; @5W%t#ET200S-20100709@;
24736;Aide : erreur partenaire; @5W%t#ET200S-2;Help: Remote mismatch; @5W%t#ET200S-2010;
8416;Partenaire incorrect;Wrong partner;
24800;Une connexion de port a été configurée, ;A port interconnection was configured bu;
8417;Port partenaire incorrect;Wrong partner port;
24801;Une connexion de port a été configurée, ;A port interconnection was configured bu;
8418;IRT (Top Performance) impossible sur ce port;IRT (top performance) not possible at this port;
24802;Causes possibles :
 - Autres erreurs de ;Possible causes:
 - Other communications;
8419;Incohérence pour "Support de transmission / Duplex";Inconsistency in "transmission medium / duplex";
24803;"Support de transmission/Duplex" a été c;"Transmission medium/duplex" was configu;
8420;Incohérence de la configuration MRP / du câblage;Inconsistent MRP configuration / wiring;
24804;Domaine MRP configuré ; la sélection loc;MRP domain was configured; the local set;
8421;Le voisin n'a pas pu être détecté;The neighbor could not be identified;
24805;Une connexion de port a été configurée, ;A port interconnection was configured bu;
8422;Incohérence de la configuration MRRT;Inconsistent MRRT configuration;
24806;L'attribut MRRT  a été configuré; les op;The MRRT feature was configured; the loc;
8423;Différence à la détermination de longueur de câble;Difference in cable length measurement;
24807;"Support de transmission / Duplex" a été;"Transmission medium / Duplex" was confi;
8432;Nom de domaine Sync utilisé plusieurs fois;Sync domain name used more than once;
24816;Deux domaines Sync de même nom ont été c;Two sync domains with the same name were;
8480;Erreur de redondance de supports de transmission; @5W%t#ET200S-20100709@;Media redundancy mismatch; @5W%t#ET200S-20100709@;
24864;Aide : erreur de redondance de supports ;Help: Media redundancy mismatch; @5W%t#E;
8544;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;Redundancy manager cannot adopt the configured role;
24928;Signifie que le gestionnaire de redondan;Indicates that the configured redundancy;
8545;Anneau ouvert;Ring opened;
24929;Indique que l'anneau est interrompu unil;Indicates that the ring has been interru;
8546;Redondance RT plus garantie;RT redundancy not effective;
24930;Indique que l'anneau n'est pas fermé pou;Indicates that the ring is not closed fo;
8547;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;There is more than one redundancy manager in the ring;
24931;Indique que plusieurs appareils assument;Indicates that more than one device in t;
8608;Perte de synchronisation; @5W%t#ET200S-20100709@;Sync mismatch; @5W%t#ET200S-20100709@;
24992;Aide : perte de synchronisation; @5W%t#E;Help: Sync mismatch; @5W%t#ET200S-201007;
8672;L'esclave Sync ne sera pas synchronisé;Sync slave will not be synchronized;
25056;La station est un esclave Sync et n'est ;The station is a sync slave and it is no;
8675;Station non synchrone;Station not synchronized;
25059;La synchronisation se trouve hors de la ;Synchronization is outside the range of ;
8736;Erreur de synchronisme d'horloge; @5W%t#ET200S-20100709@;Isochrone mode mismatch; @5W%t#ET200S-20100709@;
25120;Aide : erreur de synchronisme d'horloge;;Help: Isochrone mode mismatch; @5W%t#ET2;
8864;Erreur Multicast CR; @5W%t#ET200S-20100709@;Multicast CR mismatch; @5W%t#ET200S-20100709@;
25248;Aide : Erreur CR Multicast; @5W%t#ET200S;Help: Multicast CR mismatch; @5W%t#ET200;
8992;réservé; @5W%t#ET200S-20100709@;Reserved; @5W%t#ET200S-20100709@;
25376;Aide : réservée; @5W%t#ET200S-20100709@;Help: Reserved; @5W%t#ET200S-20100709@;
9120;Erreur fibre optique; @5W%t#ET200S-20100709@;Fiber optics mismatch; @5W%t#ET200S-20100709@;
25504;Aide : erreur fibre optique; @5W%t#ET200;Help: Fiber optics mismatch; @5W%t#ET200;
9184;Réserve système FO critique;FO link power margin critical;
25568;La réserve système FO se trouve en -dess;The FO link power margin is below the @2;
9248;Erreur de fonctionnement du composant réseau; @5W%t#ET200S-20100709@;Network component function mismatch; @5W%t#ET200S-20100709@;
25632;Aide : erreur de fonctionnement du compo;Help: Network component function mismatc;
9312;Paquets de données rejetés pour surcharge;Data packets discarded due to overload;
25696;@2D%1d@ paquets de données au minimum on;At least @2D%1d@ data packets were disca;
9376;Erreur d'horloge; @5W%t#ET200S-20100709@;Time mismatch; @5W%t#ET200S-20100709@;
25760;Aide : erreur de temporisation; @5W%t#ET;Help: Time mismatch; @5W%t#ET200S-201007;
8888;;;
25272;;;
9016;Court-circuit;Short circuit;
25400;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
9144;Sous-tension;Low voltage;
25528;Contrôlez l'alimentation en tension.;Verify the power supply.;
9272;Surtension;Overvoltage;
25656;Contrôlez l'alimentation en tension.;Verify the power supply.;
9400;Surcharge;Overload;
25784;Contrôlez les caractéristiques technique;Check the technical specifications of th;
9528;Surchauffe;Overtemperature;
25912;Contrôlez les caractéristiques technique;Check the technical specifications of th;
9656;Rupture de fil;Wire break;
26040;Contrôlez l'état des câbles de liaison.;Check the status of the connection lines;
9784;Limite supérieure dépassée;High limit exceeded;
26168;Contrôlez les caractéristiques technique;Check the technical specifications of th;
9912;Limite inférieure sous-dépassée;Low limit exceeded;
26296;Contrôlez les caractéristiques technique;Check the technical specifications of th;
10040;Erreur;Error;
26424;;;
10168;Simulation active;Simulation active;
26552;;;
10296;réservé;Reserved;
26680;;;
10424;réservé;Reserved;
26808;;;
10552;réservé;Reserved;
26936;;;
10680;réservé;Reserved;
27064;;;
10808;Paramètre manquant;Parameter missing;
27192;;;
10936;Erreur de parametrage;Parameter assignment error;
27320;;;
11064;Absence tension de capteur ou charge;Sensor or load voltage missing;
27448;;;
11192;Fusible defectueux;Fuse defective;
27576;;;
11320;Erreur de communication;Slot not addressable;
27704;;;
11448;Erreur de masse;Ground error;
27832;;;
