//Note: This export file in CSV format must not be opened by double-clicking on the file!;;;
//Please open this file using the menu command File > Open of MS Excel;;;
$_Languages;;;
7(5) German (Liechtenstein);9(1) English (United States);12(1) French (France);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Export on 02/07/2016 05:03:11 PM;;;
5544;Too much diagnostic information generated;Trop d'informations de diagnostic;
21928;The HMI diagnostic picture data block for PROFINET IO is intended for maximum di;Le bloc de données des vues de diagnotic IHM pour PROFINET IO est prévu pour un ;
5545;Error calling SFB 52;Erreur à l'appel du SFB 52;
21929;An error occurred calling SFB 52 during the updating of the HMI diagnostic pictu;Une erreur s'est produite lors de l'actualisation du bloc de données pour vues d;
5576;Module is not plugged in;Module non enfiché;
21960;Check whether or not the module is correctly plugged in.;Vérifiez si le module est correctement enfiché.;
5577;Wrong module plugged in;Module incorrect enfiché;
21961;Check the module.;Contrôlez le module.;
5578;The module is correct but at least one submodule is incorrect;Le module est correct mais une cartouche au moins est incorrecte.;
21962;Check the submodules of the module.;Contrôlez les cartouches du module.;
5579;Wrong module but it is compatible with the configuration;Module incorrect, mais compatible avec la configuration.;
21963;The module is compatible with the configuration so no action is necessary.;Comme le module est compatible avec le configuration, aucune action n'est requis;
5640;Submodule is not plugged in;Cartouche non enfichée;
22024;Check whether or not the submodule is correctly plugged in.;Vérifiez si la cartouche est correctement enfichée;
5641;Submodule is compatible to the configuration;Cartouche compatible avec la configuration;
22025;The submodule is compatible with the configuration so no action is necessary.;Comme la cartouche est compatible avec la configuration, aucune action n'est req;
5642;Submodule is block by the controller;Cartouche bloquée par le contrôleur.;
22026;;;
5644;An application is accessing the submodule;Une application accède à la cartouche.;
22028;;;
5647;Wrong submodule but it is compatible with the configuration;Cartouche incorrecte, mais compatible avec la configuration;
22031;The submodule is compatible with the configuration so no action is necessary.;Comme la cartouche est compatible avec la configuration, aucune action n'est req;
7088;;;
23472;;;
7216;Short circuit;Court-circuit;
23600;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
7344;Low voltage;Sous-tension;
23728;Verify the power supply.;Contrôlez l'alimentation en tension.;
7472;Overvoltage;Surtension;
23856;Verify the power supply.;Contrôlez l'alimentation en tension.;
7600;Overload;Surcharge;
23984;Check the technical specifications of the  connected components and the configur;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
7728;Overtemperature;Surchauffe;
24112;Check the technical specifications of the connected components.;Contrôlez les caractéristiques techniques des composants liés.;
7856;Wire break;Rupture de fil;
24240;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
7984;High limit exceeded;Limite supérieure dépassée;
24368;Check the technical specifications of the  connected components and the configur;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
8112;Low limit exceeded;Limite inférieure sous-dépassée;
24496;Check the technical specifications of the  connected components and the configur;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
8240;Error;Erreur;
24624;;;
8368;Simulation active;Simulation active;
24752;;;
8496;Reserved;réservé;
24880;;;
8624;Reserved;réservé;
25008;;;
8752;Reserved;réservé;
25136;;;
8880;Reserved;réservé;
25264;;;
9008;Parameter missing;Paramètre manquant;
25392;;;
9136;Parameter assignment error;Erreur de paramétrage;
25520;Cause: Bad module parameter. Remedy: Check and correct parameter. Then reload.;Cause : paramètres de module incorrects. Solution : vérifiez et corrigez les par;
9264;Power supply fault;Absence de tension capteur ou de charge;
25648;Cause: No power supply. Remedy: Check wiring or turn on power supply.;Cause : absence de tension d'alimentation. Solution : vérifiez le câblage ou bra;
9392;Fuse blown / open;Fusible defectueux;
25776;Cause: Overload. Remedy: Remove cause of overload. The replace fuse.;Cause : surcharge. Solution : supprimez la cause de la surcharge. Remplacez ensu;
9520;Slot cannot be addressed;Emplacement non accessible;
25904;Cause: Communication error with various possible causes. Remedy: Depends on caus;Cause : erreur de communication à cause multiple. Solution : dépend de la cause.;
9648;Ground fault;Défaut à la masse;
26032;Cause: Common mode voltage exceeded or M cable disconnected. Remedy: Check wirin;Cause : dépassement de la tension mode commun ou rupture du câble M. Solution : ;
