//Note: This export file in CSV format must not be opened by double-clicking on the file!;;;
//Please open this file using the menu command File > Open of MS Excel;;;
$_Languages;;;
7(5) German (Liechtenstein);9(1) English (United States);12(1) French (France);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Export on 03/17/2017 06:10:32 PM;;;
9248;Too much diagnostic information generated;Trop d'informations de diagnostic;
25632;The HMI diagnostic picture data block for PROFINET IO is intended for maximum diagnostics. Per PROFINET IO device, it can contain diagnostic data for up to 8 modules that have problems. Per module, it can contain diagnostic data for up to 14 submodules and;Le bloc de données des vues de diagnotic IHM pour PROFINET IO est prévu pour un diagnostic maximal. Par PROFINET IO-Device il peut contenir les données de diagnostic de jusqu'à 8 modules en défaut. Il peut contenir les données de diagnostic de jusqu'à 14 c;
9249;Error calling SFB 52;Erreur à l'appel du SFB 52;
25633;An error occurred calling SFB 52 during the updating of the HMI diagnostic pictures data block for PROFINET IO.;Une erreur s'est produite lors de l'actualisation du bloc de données pour vues de diagnostic IHM pour PROFINET IO à l'appel du SFB 52;
9296;Module is not plugged in;Module non enfiché;
25680;Check whether or not the module is correctly plugged in.;Vérifiez si le module est correctement enfiché.;
9297;Wrong module plugged in;Module incorrect enfiché;
25681;Check the module.;Contrôlez le module.;
9298;The module is correct but at least one submodule is incorrect;Le module est correct mais une cartouche au moins est incorrecte.;
25682;Check the submodules of the module.;Contrôlez les cartouches du module.;
9299;Wrong module but it is compatible with the configuration;Module incorrect, mais compatible avec la configuration.;
25683;The module is compatible with the configuration so no action is necessary.;Comme le module est compatible avec le configuration, aucune action n'est requise.;
9392;Submodule is not plugged in;Cartouche non enfichée;
25776;Check whether or not the submodule is correctly plugged in.;Vérifiez si la cartouche est correctement enfichée;
9393;Submodule is compatible to the configuration;Cartouche compatible avec la configuration;
25777;The submodule is compatible with the configuration so no action is necessary.;Comme la cartouche est compatible avec la configuration, aucune action n'est requise.;
9394;Submodule is block by the controller;Cartouche bloquée par le contrôleur.;
25778;;;
9396;An application is accessing the submodule;Une application accède à la cartouche.;
25780;;;
9399;Wrong submodule but it is compatible with the configuration;Cartouche incorrecte, mais compatible avec la configuration;
25783;The submodule is compatible with the configuration so no action is necessary.;Comme la cartouche est compatible avec la configuration, aucune action n'est requise.;
8592;;;
24976;;;
8784;Short circuit;Court-circuit;
25168;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
8976;Low voltage;Sous-tension;
25360;Verify the power supply.;Contrôlez l'alimentation en tension.;
9168;Overvoltage;Surtension;
25552;Verify the power supply.;Contrôlez l'alimentation en tension.;
9360;Overload;Surcharge;
25744;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
9552;Overtemperature;Surchauffe;
25936;Check the technical specifications of the connected components.;Contrôlez les caractéristiques techniques des composants liés.;
9744;Wire break;Rupture de fil;
26128;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
9936;High limit exceeded;Limite supérieure dépassée;
26320;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
10128;Low limit exceeded;Limite inférieure sous-dépassée;
26512;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
10320;Error;Erreur;
26704;;;
10512;Simulation active;Simulation active;
26896;;;
10704;Reserved;réservé;
27088;;;
10896;Reserved;réservé;
