//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.,,,,
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel,,,,
$_Languages,,,,
7(5) German (Liechtenstein),10(1) Spanish (Traditional Sort),9(1) English (United States),12(1) French (France),
$_Typ(OtherText),$_Attrib(MultiLanguage),$_Attrib(MultiLanguage),$_Attrib(MultiLanguage),
//$_Exportación el 28/12/2018 13:32:44,,,,
2472,Hay demasiadas informaciones de diagnóstico,Too much diagnostic information generated,Trop d'informations de diagnostic,
18856,El bloque de datos de imágenes de diagnó,The HMI diagnostic picture data block fo,Le bloc de données des vues de diagnotic,
2473,Error al llamar el SFB 52,Error calling SFB 52,Erreur à l'appel du SFB 52,
18857,Al actualizar el bloque de datos de imág,An error occurred calling SFB 52 during ,Une erreur s'est produite lors de l'actu,
2776,Módulo no insertado,Module is not plugged in,Module non enfiché,
19160,Compruebe si el módulo está enchufado co,Check whether or not the module is corre,Vérifiez si le module est correctement e,
2777,Módulo enchufado incorrecto,Wrong module plugged in,Module incorrect enfiché,
19161,Compruebe el módulo.,Check the module.,Contrôlez le module.,
2778,El módulo es correcto pero hay como mínimo un submódulo incorrecto,The module is correct but at least one submodule is incorrect,Le module est correct mais une cartouche au moins est incorrecte.,
19162,Compruebe los submódulos del módulo.,Check the submodules of the module.,Contrôlez les cartouches du module.,
2779,Módulo incorrecto, pero compatible con la configuración,Wrong module but it is compatible with the configuration,Module incorrect, mais compatible avec la configuration.,
19163,Como el módulo es compatible con la conf,The module is compatible with the config,Comme le module est compatible avec le c,
3384,Submódulo no insertado,Submodule is not plugged in,Cartouche non enfichée,
19768,Compruebe si el submódulo está enchufado,Check whether or not the submodule is co,Vérifiez si la cartouche est correctemen,
3385,Submódulo compatible con la configuración,Submodule is compatible to the configuration,Cartouche compatible avec la configuration,
19769,Como el submódulo es compatible con la c,The submodule is compatible with the con,Comme la cartouche est compatible avec l,
3386,Submódulo bloqueado por el controlador,Submodule is block by the controller,Cartouche bloquée par le contrôleur.,
19770,,,,
3388,Una aplicación está accediendo al submódulo,An application is accessing the submodule,Une application accède à la cartouche.,
19772,,,,
3391,Submódulo incorrecto, pero compatible con la configuración,Wrong submodule but it is compatible with the configuration,Cartouche incorrecte, mais compatible avec la configuration,
19775,Como el submódulo es compatible con la c,The submodule is compatible with the con,Comme la cartouche est compatible avec l,
5336,,,,
21720,,,,
6552,Cortocircuito,Short circuit,Court-circuit,
22936,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
7768,Baja tensión,Low voltage,Sous-tension,
24152,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
8984,Sobretensión,Overvoltage,Surtension,
25368,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
10200,Sobrecarga,Overload,Surcharge,
26584,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
11416,Sobretemperatura,Overtemperature,Surchauffe,
27800,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
12632,Rotura de hilo,Wire break,Rupture de fil,
29016,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
13848,Límite superior excedido,High limit exceeded,Limite supérieure dépassée,
30232,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
15064,Límite inferior excedido,Low limit exceeded,Limite inférieure sous-dépassée,
31448,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
16280,Fallo,Error,Erreur,
32664,,,,
1184,Simulación activa,Simulation active,Simulation active,
17568,,,,
2400,Reservado,Reserved,réservé,
18784,,,,
3616,Reservado,Reserved,réservé,
20000,,,,
4832,Reservado,Reserved,réservé,
21216,,,,
6048,Reservado,Reserved,réservé,
22432,,,,
7264,Falta el parámetro,Parameter missing,Paramètre manquant,
23648,,,,
8480,Error de parametrización,Parameter assignment error,Erreur de paramétrage,
24864,Causa: Parámetros de módulo incorrectos.,Cause: Bad module parameter. Remedy: Che,Cause : paramètres de module incorrects.,
9696,Falta tensión de sensores o de carga,Power supply fault,Absence de tension capteur ou de charge,
26080,Causa: Falta tensión de carga. Solución:,Cause: No power supply. Remedy: Check wi,Cause : absence de tension d'alimentatio,
10912,Fusible defectuoso,Fuse blown / open,Fusible defectueux,
27296,Causa: Sobrecarga. Solución: Eliminar la,Cause: Overload. Remedy: Remove cause of,Cause : surcharge. Solution : supprimez ,
12128,El slot no responde,Slot cannot be addressed,Emplacement non accessible,
28512,Causa: Error de comunicación de diferent,Cause: Communication error with various ,Cause : erreur de communication à cause ,
13344,Defecto a masa,Ground fault,Défaut à la masse,
29728,Causa: Tensión en modo común rebasada o ,Cause: Common mode voltage exceeded or M,Cause : dépassement de la tension mode c,
14560,Error del canal de referencia,Reference point list,Erreur de voie de référence,
30944,Causa: Error en el canal de referencia. ,Cause: Error on reference channel. Remed,Cause : erreur de voie de référence. Sol,
15776,Alarma de proceso perdida,Process event lost / sampling error,Alarme de processus perdue,
32160,Causa: Alarma de proceso. Solución: Camb,Cause: Hardware interrupt. Remedy: Chang,Cause : alarme de processus. Solution : ,
680,Advertencia de actuador,Threshold warning,Avertissement actionneur,
17064,Causa: El actuador notifica el rebase de,Cause: Actuator signaling a limit value ,Cause : actionneur signale un dépassemen,
1896,Desconexión de actuador,Output disabled,Coupure actionneur,
18280,Causa: Se ha detectado un problema con e,Cause: Problem detected on actuator. Rem,Cause : problème d'actionneur détecté. S,
3112,Desconexión orientada a seguridad,Safety event,Arrêt de sécurité,
19496,Causa: Se ha detectado un fallo en el ca,Cause: Error detected on channel. Remedy,Cause : erreur de voie détectée. Solutio,
4328,Error externo,External fault,Défaut externe,
20712,Causa: Se ha detectado un fallo en el se,Cause: Problem detected on sensor/actuat,Cause : Erreur de capteur/actionneur dét,
5544,Error no definido,Unidentified error,Défaut non spécifié,
